Campaign,Ad Group,Ad Status,Ad Type,Final URL,Path 1,Path 2,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position
GOOG_SEARCH_Brand_US_2026Q2,AG1_Brand,Enabled,Responsive search ad,https://kineticrecruiter.com/?utm_source=google&utm_medium=cpc&utm_campaign=brand&utm_content={creative},ats,free-trial,KineticRecruiter Official Site,1,KineticRecruiter — The AI ATS,,Try KineticRecruiter Free,,"7-Day Free Trial, No Card",,AI-Powered ATS for Agencies,,KineticRecruiter Login Here,,Start Your Free Trial Today,,Setup in Under 1 Hour,,No Demo Required,,From $29/Mo. Flat per Account.,,From $24/Mo on Annual Plan,,200 CVs Ranked in 60 Seconds,,AI Candidate Matching,,Unlimited Jobs & Clients,,"Cancel Anytime, No Card",,"The AI-powered ATS built for recruitment agencies. 7-day free trial, no credit card required.",,Rank 200 CVs in 60 seconds with AI candidate scoring. Natural-language search. Try free for 7 days.,,"Unlimited jobs, unlimited clients, Chrome extension for LinkedIn imports. Start free today.",,"Official site. Login, sign up, or start your trial. From $29/mo or $24/mo on annual.",
GOOG_SEARCH_Brand_AU_2026Q2,AG1_Brand,Paused,Responsive search ad,https://kineticrecruiter.com/?utm_source=google&utm_medium=cpc&utm_campaign=brand_au&utm_content={creative},ats,free-trial,KineticRecruiter Official Site,1,KineticRecruiter — The AI ATS,,Try KineticRecruiter Free,,"7-Day Free Trial, No Card",,AI-Powered ATS for Agencies,,KineticRecruiter Login Here,,Start Your Free Trial Today,,Setup in Under 1 Hour,,No Demo Required,,From $29/Mo. Flat per Account.,,From $24/Mo on Annual Plan,,200 CVs Ranked in 60 Seconds,,AI Candidate Matching,,Unlimited Jobs & Clients,,"Cancel Anytime, No Card",,"The AI-powered ATS built for recruitment agencies. 7-day free trial, no credit card required.",,Rank 200 CVs in 60 seconds with AI candidate scoring. Natural-language search. Try free for 7 days.,,"Unlimited jobs, unlimited clients, Chrome extension for LinkedIn imports. Start free today.",,"Official site. Login, sign up, or start your trial. From $29/mo or $24/mo on annual.",
GOOG_SEARCH_NonBrand_US_2026Q2,AG1_ATS_Category,Paused,Responsive search ad,https://kineticrecruiter.com/?utm_source=google&utm_medium=cpc&utm_campaign=nonbrand&utm_term={keyword},ai-ats,free-trial,The AI ATS for Recruiters,1,"Modern ATS, Built for AI",,Rank 200 CVs in 60 Seconds,,AI Resume Parsing + Scoring,,Natural Language CV Search,,"Free 7-Day Trial, No Card",,Setup in Under 1 Hour,,No Demo Required,,From $29/Mo. Flat per Account.,,From $24/Mo on Annual Plan,,Try the AI-First ATS,,AI ATS for Modern Recruiters,,"Stop Scrolling, Start Sourcing",,Semantic Search Across CVs,,Chrome Extension Included,,"AI-powered ATS built for agencies. Rank 200 CVs in 60 seconds. 7-day free trial, no card.",,Natural-language CV search. AI resume parsing and scoring. Try KineticRecruiter free.,,"Unlimited jobs, unlimited clients, Kanban pipeline, Chrome extension. From $29/mo or $24/mo annual.",,"The ATS recruiters actually enjoy using. 7 days free, cancel anytime. Save 17% on annual.",
GOOG_SEARCH_NonBrand_US_2026Q2,AG2_Agency_Software,Paused,Responsive search ad,https://kineticrecruiter.com/solutions/recruitment-agencies?utm_source=google&utm_medium=cpc&utm_campaign=nonbrand_agency,agencies,free-trial,Software For Recruiters,1,The AI ATS for Agencies,2,Unlimited Clients & Jobs,,Client CRM Built In,,For Agencies From 1 to 20,,Chrome LinkedIn Import,,"7-Day Free Trial, No Card",,From $29/Mo. Not Per Seat.,,From $24/Mo on Annual Plan,,Pro Plan: $49/Mo on Annual,,Rank 200 CVs in 60 Seconds,,Designed by Ex-Recruiters,,Save 17% on Annual Plans,,Try It This Weekend,,From Freelance to Boutique,,"Recruitment agency software with AI candidate matching, client CRM, and LinkedIn Chrome extension.",,"Unlimited jobs, unlimited clients. Flat per account, not per recruiter. From $24/mo on annual.",,AI scoring ranks your top 5 candidates per role in seconds. No more sorting CVs at 11pm.,,"Modern recruitment CRM with AI resume parsing. From $29/mo or $24/mo on annual. No per-seat tax.",
GOOG_SEARCH_NonBrand_US_2026Q2,AG3_AI_Recruiting,Paused,Responsive search ad,https://kineticrecruiter.com/features/ai-candidate-intelligence?utm_source=google&utm_medium=cpc&utm_campaign=nonbrand_ai,ai-recruiting,free-trial,AI Recruiting That Works,1,AI Resume Screening in Seconds,,AI Candidate Matching + Score,,Rank 200 CVs in 60 Seconds,,Natural Language CV Search,,"Stop Screening, Start Hiring",,AI ATS Built for Recruiters,,From 6 Hours to 60 Seconds,,AI-First Applicant Tracking,,"7-Day Free Trial, No Card",,See AI Score Every Candidate,,Find Hidden Candidates Fast,,From $24/Mo on Annual Plan,,Try the AI Recruiting Tool,,"From $29/Mo, Cancel Anytime",,"AI resume parsing, candidate scoring, and natural-language search. Rank 200 CVs in 60 seconds.",,The AI ATS built for recruiters. Find hidden candidates with semantic search. 7 days free.,,Stop reading CVs one-by-one. AI matches and scores candidates against your role instantly.,,AI recruiting software that actually makes your job faster. Try KineticRecruiter free today.,
GOOG_SEARCH_NonBrand_AU_2026Q2,AG1_ATS_Category,Paused,Responsive search ad,https://kineticrecruiter.com/?utm_source=google&utm_medium=cpc&utm_campaign=nonbrand_au&utm_term={keyword},ai-ats,free-trial,The AI ATS for Recruiters,1,"Modern ATS, Built for AI",,Rank 200 CVs in 60 Seconds,,AI Resume Parsing + Scoring,,Natural Language CV Search,,"Free 7-Day Trial, No Card",,Setup in Under 1 Hour,,No Demo Required,,From $29/Mo. Flat per Account.,,From $24/Mo on Annual Plan,,Try the AI-First ATS,,AI ATS for Modern Recruiters,,"Stop Scrolling, Start Sourcing",,Semantic Search Across CVs,,Chrome Extension Included,,"AI-powered ATS built for agencies. Rank 200 CVs in 60 seconds. 7-day free trial, no card.",,Natural-language CV search. AI resume parsing and scoring. Try KineticRecruiter free.,,"Unlimited jobs, unlimited clients, Kanban pipeline, Chrome extension. From $29/mo or $24/mo annual.",,"The ATS recruiters actually enjoy using. 7 days free, cancel anytime. Save 17% on annual.",
GOOG_SEARCH_NonBrand_AU_2026Q2,AG2_Agency_Software,Paused,Responsive search ad,https://kineticrecruiter.com/solutions/recruitment-agencies?utm_source=google&utm_medium=cpc&utm_campaign=nonbrand_agency_au,agencies,free-trial,Software For Recruiters,1,The AI ATS for Agencies,2,Unlimited Clients & Jobs,,Client CRM Built In,,For Agencies From 1 to 20,,Chrome LinkedIn Import,,"7-Day Free Trial, No Card",,From $29/Mo. Not Per Seat.,,From $24/Mo on Annual Plan,,Pro Plan: $49/Mo on Annual,,Rank 200 CVs in 60 Seconds,,Designed by Ex-Recruiters,,Save 17% on Annual Plans,,Try It This Weekend,,From Freelance to Boutique,,"Recruitment agency software with AI candidate matching, client CRM, and LinkedIn Chrome extension.",,"Unlimited jobs, unlimited clients. Flat per account, not per recruiter. From $24/mo on annual.",,AI scoring ranks your top 5 candidates per role in seconds. No more sorting CVs at 11pm.,,"Modern recruitment CRM with AI resume parsing. From $29/mo or $24/mo on annual. No per-seat tax.",
GOOG_SEARCH_NonBrand_AU_2026Q2,AG3_AI_Recruiting,Paused,Responsive search ad,https://kineticrecruiter.com/features/ai-candidate-intelligence?utm_source=google&utm_medium=cpc&utm_campaign=nonbrand_ai_au,ai-recruiting,free-trial,AI Recruiting That Works,1,AI Resume Screening in Seconds,,AI Candidate Matching + Score,,Rank 200 CVs in 60 Seconds,,Natural Language CV Search,,"Stop Screening, Start Hiring",,AI ATS Built for Recruiters,,From 6 Hours to 60 Seconds,,AI-First Applicant Tracking,,"7-Day Free Trial, No Card",,See AI Score Every Candidate,,Find Hidden Candidates Fast,,From $24/Mo on Annual Plan,,Try the AI Recruiting Tool,,"From $29/Mo, Cancel Anytime",,"AI resume parsing, candidate scoring, and natural-language search. Rank 200 CVs in 60 seconds.",,The AI ATS built for recruiters. Find hidden candidates with semantic search. 7 days free.,,Stop reading CVs one-by-one. AI matches and scores candidates against your role instantly.,,AI recruiting software that actually makes your job faster. Try KineticRecruiter free today.,
GOOG_SEARCH_Competitor_US_2026Q2,AG1_Alternatives,Paused,Responsive search ad,https://kineticrecruiter.com/compare?utm_source=google&utm_medium=cpc&utm_campaign=competitor,alternative,free-trial,The AI-Native ATS,1,"Modern ATS, Built for AI",,Compare Modern ATS Options,,Switch to the AI ATS,,$24/Mo Flat. Not $150 Per Seat,,The ATS Recruiters Switch To,,AI-Powered Candidate Matching,,"7-Day Free Trial, No Card",,Natural Language CV Search,,Rank 200 CVs in 60 Seconds,,Simpler Than the Old ATS,,Built for How Recruiters Work,,From $24/Mo on Annual Plan,,"Cancel Anytime, Keep Your Data",,From $29/Mo. Save 17% Annual,,"The modern AI-first ATS. Compare features, pricing, and see why recruiters are switching.",,"Tired of clunky ATS software? Try the AI-native alternative. 7 days free, no credit card.",,"From $29/mo or $24/mo on annual. Flat per account. Cancel anytime. AI matching + CV search.",,"See how KineticRecruiter stacks up. Modern AI, flat per-account pricing, no per-seat tax.",
GOOG_SEARCH_Competitor_AU_2026Q2,AG1_Alternatives,Paused,Responsive search ad,https://kineticrecruiter.com/compare?utm_source=google&utm_medium=cpc&utm_campaign=competitor_au,alternative,free-trial,The AI-Native ATS,1,"Modern ATS, Built for AI",,Compare Modern ATS Options,,Switch to the AI ATS,,$24/Mo Flat. Not $150 Per Seat,,The ATS Recruiters Switch To,,AI-Powered Candidate Matching,,"7-Day Free Trial, No Card",,Natural Language CV Search,,Rank 200 CVs in 60 Seconds,,Simpler Than the Old ATS,,Built for How Recruiters Work,,From $24/Mo on Annual Plan,,"Cancel Anytime, Keep Your Data",,From $29/Mo. Save 17% Annual,,"The modern AI-first ATS. Compare features, pricing, and see why recruiters are switching.",,"Tired of clunky ATS software? Try the AI-native alternative. 7 days free, no credit card.",,"From $29/mo or $24/mo on annual. Flat per account. Cancel anytime. AI matching + CV search.",,"See how KineticRecruiter stacks up. Modern AI, flat per-account pricing, no per-seat tax.",
