Extension Type,Account,Campaign,Sitelink Text,Description Line 1,Description Line 2,Final URL,Callout Text,Snippet Header,Snippet Values
Sitelink,Enabled,,Pricing,From $24/mo on annual plan,"$29/mo monthly. Save 17% annual",https://kineticrecruiter.com/pricing,,,
Sitelink,Enabled,,Free Trial,Start in under 60 seconds,"7-day trial, no credit card",https://kineticrecruiter.com/register?plan=professional,,,
Sitelink,Enabled,,For Agencies,Unlimited clients & jobs,Built for 1-20 person agencies,https://kineticrecruiter.com/solutions/recruitment-agencies,,,
Sitelink,Enabled,,AI Features,"AI scoring, resume parsing",Natural-language CV search,https://kineticrecruiter.com/features/ai-candidate-intelligence,,,
Sitelink,Enabled,,Chrome Extension,Import LinkedIn candidates,One-click from any profile,https://kineticrecruiter.com/features/candidate-intake,,,
Sitelink,Enabled,,Compare,KR vs other modern ATS,"Flat per account, not per seat",https://kineticrecruiter.com/compare,,,
Callout,Enabled,,,,,,No credit card required,,
Callout,Enabled,,,,,,7-day free trial,,
Callout,Enabled,,,,,,AI resume parsing,,
Callout,Enabled,,,,,,Natural language search,,
Callout,Enabled,,,,,,Unlimited clients,,
Callout,Enabled,,,,,,Chrome extension,,
Callout,Enabled,,,,,,Built for agencies,,
Callout,Enabled,,,,,,Cancel anytime,,
Callout,Enabled,,,,,,From $24/mo on annual,,
Callout,Enabled,,,,,,$29/mo monthly. Flat.,,
Callout,Enabled,,,,,,Save 17% on annual,,
Callout,Enabled,,,,,,Flat per account,,
Callout,Enabled,,,,,,AI candidate scoring,,
Callout,Enabled,,,,,,24/7 email support,,
Structured Snippet,Enabled,,,,,,,Features,"AI Resume Parsing; AI Candidate Matching; Natural Language Search; Kanban Pipeline; Client CRM; Chrome Extension"
Structured Snippet,Enabled,,,,,,,Service catalog,"Starter — $29/mo or $24 annual; Professional — $59/mo or $49 annual; Agency — $99/mo or $82 annual"
